"population","demographic_group","indicator","survey_year","value","indicator_type"
children,European/Other boys,Waist to height ratio ≥ 0.5,2012,21.0,Other
children,European/Other girls,Waist to height ratio ≥ 0.5,2012,18.1,Other
children,Northern boys,Waist to height ratio ≥ 0.5,2012,24.2,Other
children,Midland boys,Waist to height ratio ≥ 0.5,2012,27.3,Other
children,Central boys,Waist to height ratio ≥ 0.5,2012,23.1,Other
children,South Island boys,Waist to height ratio ≥ 0.5,2012,25.6,Other
children,Northern girls,Waist to height ratio ≥ 0.5,2012,22.6,Other
children,Midland girls,Waist to height ratio ≥ 0.5,2012,19.9,Other
children,Central girls,Waist to height ratio ≥ 0.5,2012,29.4,Other
children,South Island girls,Waist to height ratio ≥ 0.5,2012,14.2,Other
children,Total Non-disabled,Waist to height ratio ≥ 0.5,2012,0.0,Other
children,Total Disabled,Waist to height ratio ≥ 0.5,2012,0.0,Other
children,Non-disabled boys,Waist to height ratio ≥ 0.5,2012,0.0,Other
children,Disabled boys,Waist to height ratio ≥ 0.5,2012,0.0,Other
children,Non-disabled girls,Waist to height ratio ≥ 0.5,2012,0.0,Other
children,Disabled girls,Waist to height ratio ≥ 0.5,2012,0.0,Other
children,Total,Mean waist (cm),2012,65.8,Measurement
children,Boys,Mean waist (cm),2012,66.6,Measurement
children,Girls,Mean waist (cm),2012,64.9,Measurement
children,"5-9",Mean waist (cm),2012,59.5,Measurement
children,"10-14",Mean waist (cm),2012,72.0,Measurement
children,Total Māori,Mean waist (cm),2012,67.8,Measurement
children,Total Pacific,Mean waist (cm),2012,69.9,Measurement
children,Total Asian,Mean waist (cm),2012,64.0,Measurement
children,Total European/Other,Mean waist (cm),2012,64.9,Measurement
children,Total Northern,Mean waist (cm),2012,65.9,Measurement
children,Total Midland,Mean waist (cm),2012,65.3,Measurement
children,Total Central,Mean waist (cm),2012,67.4,Measurement
children,Total South Island,Mean waist (cm),2012,64.7,Measurement
children,Māori boys,Mean waist (cm),2012,68.2,Measurement
children,Māori girls,Mean waist (cm),2012,67.4,Measurement
children,Pacific boys,Mean waist (cm),2012,71.4,Measurement
children,Pacific girls,Mean waist (cm),2012,68.2,Measurement
children,Asian boys,Mean waist (cm),2012,65.1,Measurement
children,Asian girls,Mean waist (cm),2012,63.0,Measurement
children,European/Other boys,Mean waist (cm),2012,65.6,Measurement
children,European/Other girls,Mean waist (cm),2012,64.1,Measurement
children,Northern boys,Mean waist (cm),2012,67.2,Measurement
children,Midland boys,Mean waist (cm),2012,65.9,Measurement
children,Central boys,Mean waist (cm),2012,68.1,Measurement
children,South Island boys,Mean waist (cm),2012,65.1,Measurement
children,Northern girls,Mean waist (cm),2012,64.4,Measurement
children,Midland girls,Mean waist (cm),2012,64.8,Measurement
children,Central girls,Mean waist (cm),2012,66.5,Measurement
children,South Island girls,Mean waist (cm),2012,64.3,Measurement
children,Total Non-disabled,Mean waist (cm),2012,0.0,Measurement
children,Total Disabled,Mean waist (cm),2012,0.0,Measurement
children,Non-disabled boys,Mean waist (cm),2012,0.0,Measurement
children,Disabled boys,Mean waist (cm),2012,0.0,Measurement
children,Non-disabled girls,Mean waist (cm),2012,0.0,Measurement
children,Disabled girls,Mean waist (cm),2012,0.0,Measurement
children,Total,Parents' belief about physical punishment,2012,0.0,Other
children,Boys,Parents' belief about physical punishment,2012,0.0,Other
children,Girls,Parents' belief about physical punishment,2012,0.0,Other
children,"0-4",Parents' belief about physical punishment,2012,0.0,Other
children,"5-9",Parents' belief about physical punishment,2012,0.0,Other
children,"10-14",Parents' belief about physical punishment,2012,0.0,Other
children,Total Māori,Parents' belief about physical punishment,2012,0.0,Other
children,Total Pacific,Parents' belief about physical punishment,2012,0.0,Other
children,Total Asian,Parents' belief about physical punishment,2012,0.0,Other
children,Total European/Other,Parents' belief about physical punishment,2012,0.0,Other
children,Total Northern,Parents' belief about physical punishment,2012,0.0,Other
children,Total Midland,Parents' belief about physical punishment,2012,0.0,Other
children,Total Central,Parents' belief about physical punishment,2012,0.0,Other
children,Total South Island,Parents' belief about physical punishment,2012,0.0,Other
children,Māori boys,Parents' belief about physical punishment,2012,0.0,Other
children,Māori girls,Parents' belief about physical punishment,2012,0.0,Other
children,Pacific boys,Parents' belief about physical punishment,2012,0.0,Other
children,Pacific girls,Parents' belief about physical punishment,2012,0.0,Other
children,Asian boys,Parents' belief about physical punishment,2012,0.0,Other
children,Asian girls,Parents' belief about physical punishment,2012,0.0,Other
children,European/Other boys,Parents' belief about physical punishment,2012,0.0,Other
children,European/Other girls,Parents' belief about physical punishment,2012,0.0,Other
children,Northern boys,Parents' belief about physical punishment,2012,0.0,Other
children,Midland boys,Parents' belief about physical punishment,2012,0.0,Other
children,Central boys,Parents' belief about physical punishment,2012,0.0,Other
children,South Island boys,Parents' belief about physical punishment,2012,0.0,Other
children,Northern girls,Parents' belief about physical punishment,2012,0.0,Other
children,Midland girls,Parents' belief about physical punishment,2012,0.0,Other
children,Central girls,Parents' belief about physical punishment,2012,0.0,Other
children,South Island girls,Parents' belief about physical punishment,2012,0.0,Other
children,Total Non-disabled,Parents' belief about physical punishment,2012,0.0,Other
children,Total Disabled,Parents' belief about physical punishment,2012,0.0,Other
children,Non-disabled boys,Parents' belief about physical punishment,2012,0.0,Other
children,Disabled boys,Parents' belief about physical punishment,2012,0.0,Other
children,Non-disabled girls,Parents' belief about physical punishment,2012,0.0,Other
children,Disabled girls,Parents' belief about physical punishment,2012,0.0,Other
children,Total,Experienced physical punishment,2012,7.0,Other
children,Boys,Experienced physical punishment,2012,7.3,Other
children,Girls,Experienced physical punishment,2012,6.7,Other
children,"0-4",Experienced physical punishment,2012,9.0,Other
children,"5-9",Experienced physical punishment,2012,9.0,Other
children,"10-14",Experienced physical punishment,2012,2.9,Other
children,Total Māori,Experienced physical punishment,2012,10.9,Other
children,Total Pacific,Experienced physical punishment,2012,11.9,Other
children,Total Asian,Experienced physical punishment,2012,4.4,Other
children,Total European/Other,Experienced physical punishment,2012,6.2,Other
children,Total Northern,Experienced physical punishment,2012,8.1,Other
children,Total Midland,Experienced physical punishment,2012,9.1,Other
children,Total Central,Experienced physical punishment,2012,8.2,Other
children,Total South Island,Experienced physical punishment,2012,2.0,Other
children,Māori boys,Experienced physical punishment,2012,11.3,Other
children,Māori girls,Experienced physical punishment,2012,10.4,Other
children,Pacific boys,Experienced physical punishment,2012,11.3,Other
children,Pacific girls,Experienced physical punishment,2012,12.4,Other
children,Asian boys,Experienced physical punishment,2012,5.5,Other
children,Asian girls,Experienced physical punishment,2012,3.4,Other
children,European/Other boys,Experienced physical punishment,2012,6.9,Other
children,European/Other girls,Experienced physical punishment,2012,5.4,Other
children,Northern boys,Experienced physical punishment,2012,7.5,Other
children,Midland boys,Experienced physical punishment,2012,11.2,Other
children,Central boys,Experienced physical punishment,2012,7.3,Other
children,South Island boys,Experienced physical punishment,2012,2.3,Other
children,Northern girls,Experienced physical punishment,2012,8.8,Other
children,Midland girls,Experienced physical punishment,2012,6.9,Other
children,Central girls,Experienced physical punishment,2012,9.1,Other
children,South Island girls,Experienced physical punishment,2012,1.7,Other
children,Total Non-disabled,Experienced physical punishment,2012,0.0,Other
children,Total Disabled,Experienced physical punishment,2012,0.0,Other
children,Non-disabled boys,Experienced physical punishment,2012,0.0,Other
children,Disabled boys,Experienced physical punishment,2012,0.0,Other
children,Non-disabled girls,Experienced physical punishment,2012,0.0,Other
children,Disabled girls,Experienced physical punishment,2012,0.0,Other
children,Total,GP visit,2012,74.2,Healthcare Access
children,Boys,GP visit,2012,74.2,Healthcare Access
children,Girls,GP visit,2012,74.2,Healthcare Access
children,"0-4",GP visit,2012,87.7,Healthcare Access
children,"5-9",GP visit,2012,71.8,Healthcare Access
children,"10-14",GP visit,2012,62.6,Healthcare Access
children,Total Māori,GP visit,2012,73.7,Healthcare Access
children,Total Pacific,GP visit,2012,75.2,Healthcare Access
children,Total Asian,GP visit,2012,76.1,Healthcare Access
children,Total European/Other,GP visit,2012,75.0,Healthcare Access
children,Total Northern,GP visit,2012,78.5,Healthcare Access
children,Total Midland,GP visit,2012,72.3,Healthcare Access
children,Total Central,GP visit,2012,73.8,Healthcare Access
children,Total South Island,GP visit,2012,69.4,Healthcare Access
children,Māori boys,GP visit,2012,76.0,Healthcare Access
children,Māori girls,GP visit,2012,71.2,Healthcare Access
children,Pacific boys,GP visit,2012,75.6,Healthcare Access
children,Pacific girls,GP visit,2012,74.9,Healthcare Access
children,Asian boys,GP visit,2012,76.6,Healthcare Access
children,Asian girls,GP visit,2012,75.5,Healthcare Access
children,European/Other boys,GP visit,2012,74.4,Healthcare Access
children,European/Other girls,GP visit,2012,75.6,Healthcare Access
children,Northern boys,GP visit,2012,79.3,Healthcare Access
children,Midland boys,GP visit,2012,72.1,Healthcare Access
children,Central boys,GP visit,2012,72.0,Healthcare Access
children,South Island boys,GP visit,2012,69.2,Healthcare Access
children,Northern girls,GP visit,2012,77.6,Healthcare Access
children,Midland girls,GP visit,2012,72.6,Healthcare Access
children,Central girls,GP visit,2012,75.8,Healthcare Access
children,South Island girls,GP visit,2012,69.6,Healthcare Access
children,Total Non-disabled,GP visit,2012,0.0,Healthcare Access
children,Total Disabled,GP visit,2012,0.0,Healthcare Access
children,Non-disabled boys,GP visit,2012,0.0,Healthcare Access
children,Disabled boys,GP visit,2012,0.0,Healthcare Access
children,Non-disabled girls,GP visit,2012,0.0,Healthcare Access
children,Disabled girls,GP visit,2012,0.0,Healthcare Access
children,Total,Mean number of GP visits,2012,2.7,Healthcare Access
children,Boys,Mean number of GP visits,2012,2.8,Healthcare Access
children,Girls,Mean number of GP visits,2012,2.6,Healthcare Access
children,"0-4",Mean number of GP visits,2012,4.0,Healthcare Access
children,"5-9",Mean number of GP visits,2012,2.2,Healthcare Access
children,"10-14",Mean number of GP visits,2012,1.9,Healthcare Access
children,Total Māori,Mean number of GP visits,2012,3.1,Healthcare Access
children,Total Pacific,Mean number of GP visits,2012,3.1,Healthcare Access
children,Total Asian,Mean number of GP visits,2012,2.6,Healthcare Access
children,Total European/Other,Mean number of GP visits,2012,2.7,Healthcare Access
children,Total Northern,Mean number of GP visits,2012,2.7,Healthcare Access
children,Total Midland,Mean number of GP visits,2012,3.0,Healthcare Access
children,Total Central,Mean number of GP visits,2012,2.9,Healthcare Access
children,Total South Island,Mean number of GP visits,2012,2.4,Healthcare Access
children,Māori boys,Mean number of GP visits,2012,3.2,Healthcare Access
children,Māori girls,Mean number of GP visits,2012,3.0,Healthcare Access
children,Pacific boys,Mean number of GP visits,2012,3.3,Healthcare Access
children,Pacific girls,Mean number of GP visits,2012,2.9,Healthcare Access
children,Asian boys,Mean number of GP visits,2012,2.9,Healthcare Access
children,Asian girls,Mean number of GP visits,2012,2.3,Healthcare Access
children,European/Other boys,Mean number of GP visits,2012,2.8,Healthcare Access
children,European/Other girls,Mean number of GP visits,2012,2.5,Healthcare Access
children,Northern boys,Mean number of GP visits,2012,2.8,Healthcare Access
children,Midland boys,Mean number of GP visits,2012,3.1,Healthcare Access
children,Central boys,Mean number of GP visits,2012,3.0,Healthcare Access
children,South Island boys,Mean number of GP visits,2012,2.4,Healthcare Access
children,Northern girls,Mean number of GP visits,2012,2.5,Healthcare Access
children,Midland girls,Mean number of GP visits,2012,2.9,Healthcare Access
children,Central girls,Mean number of GP visits,2012,2.8,Healthcare Access
children,South Island girls,Mean number of GP visits,2012,2.4,Healthcare Access
children,Total Non-disabled,Mean number of GP visits,2012,0.0,Healthcare Access
children,Total Disabled,Mean number of GP visits,2012,0.0,Healthcare Access
children,Non-disabled boys,Mean number of GP visits,2012,0.0,Healthcare Access
children,Disabled boys,Mean number of GP visits,2012,0.0,Healthcare Access
children,Non-disabled girls,Mean number of GP visits,2012,0.0,Healthcare Access
children,Disabled girls,Mean number of GP visits,2012,0.0,Healthcare Access
children,Total,Last GP visit (any location) free,2012,56.1,Healthcare Access
children,Boys,Last GP visit (any location) free,2012,57.4,Healthcare Access
children,Girls,Last GP visit (any location) free,2012,54.8,Healthcare Access
children,"0-4",Last GP visit (any location) free,2012,93.5,Healthcare Access
children,"5-9",Last GP visit (any location) free,2012,40.2,Healthcare Access
children,"10-14",Last GP visit (any location) free,2012,19.1,Healthcare Access
children,Total Māori,Last GP visit (any location) free,2012,61.7,Healthcare Access
children,Total Pacific,Last GP visit (any location) free,2012,68.7,Healthcare Access
children,Total Asian,Last GP visit (any location) free,2012,64.8,Healthcare Access
children,Total European/Other,Last GP visit (any location) free,2012,52.1,Healthcare Access
children,Total Northern,Last GP visit (any location) free,2012,55.6,Healthcare Access
children,Total Midland,Last GP visit (any location) free,2012,59.9,Healthcare Access
children,Total Central,Last GP visit (any location) free,2012,51.3,Healthcare Access
children,Total South Island,Last GP visit (any location) free,2012,57.7,Healthcare Access
children,Māori boys,Last GP visit (any location) free,2012,60.7,Healthcare Access
children,Māori girls,Last GP visit (any location) free,2012,62.8,Healthcare Access
children,Pacific boys,Last GP visit (any location) free,2012,66.4,Healthcare Access
children,Pacific girls,Last GP visit (any location) free,2012,71.0,Healthcare Access
children,Asian boys,Last GP visit (any location) free,2012,70.7,Healthcare Access
children,Asian girls,Last GP visit (any location) free,2012,58.4,Healthcare Access
children,European/Other boys,Last GP visit (any location) free,2012,53.8,Healthcare Access
children,European/Other girls,Last GP visit (any location) free,2012,50.3,Healthcare Access
children,Northern boys,Last GP visit (any location) free,2012,57.3,Healthcare Access
children,Midland boys,Last GP visit (any location) free,2012,63.5,Healthcare Access
children,Central boys,Last GP visit (any location) free,2012,51.1,Healthcare Access
children,South Island boys,Last GP visit (any location) free,2012,57.2,Healthcare Access
children,Northern girls,Last GP visit (any location) free,2012,53.8,Healthcare Access
children,Midland girls,Last GP visit (any location) free,2012,56.0,Healthcare Access
children,Central girls,Last GP visit (any location) free,2012,51.5,Healthcare Access
children,South Island girls,Last GP visit (any location) free,2012,58.1,Healthcare Access
children,Total Non-disabled,Last GP visit (any location) free,2012,0.0,Healthcare Access
children,Total Disabled,Last GP visit (any location) free,2012,0.0,Healthcare Access
children,Non-disabled boys,Last GP visit (any location) free,2012,0.0,Healthcare Access
children,Disabled boys,Last GP visit (any location) free,2012,0.0,Healthcare Access
children,Non-disabled girls,Last GP visit (any location) free,2012,0.0,Healthcare Access
children,Disabled girls,Last GP visit (any location) free,2012,0.0,Healthcare Access
children,Total,Practice nurse visit,2012,25.0,Healthcare Access
children,Boys,Practice nurse visit,2012,24.1,Healthcare Access
children,Girls,Practice nurse visit,2012,25.8,Healthcare Access
children,"0-4",Practice nurse visit,2012,41.3,Healthcare Access
children,"5-9",Practice nurse visit,2012,16.4,Healthcare Access
children,"10-14",Practice nurse visit,2012,16.3,Healthcare Access
children,Total Māori,Practice nurse visit,2012,24.6,Healthcare Access
children,Total Pacific,Practice nurse visit,2012,19.3,Healthcare Access
children,Total Asian,Practice nurse visit,2012,22.4,Healthcare Access
children,Total European/Other,Practice nurse visit,2012,27.2,Healthcare Access
children,Total Northern,Practice nurse visit,2012,20.6,Healthcare Access
children,Total Midland,Practice nurse visit,2012,24.2,Healthcare Access
children,Total Central,Practice nurse visit,2012,28.6,Healthcare Access
children,Total South Island,Practice nurse visit,2012,29.8,Healthcare Access
children,Māori boys,Practice nurse visit,2012,23.5,Healthcare Access
children,Māori girls,Practice nurse visit,2012,25.7,Healthcare Access
children,Pacific boys,Practice nurse visit,2012,19.7,Healthcare Access
children,Pacific girls,Practice nurse visit,2012,18.8,Healthcare Access
children,Asian boys,Practice nurse visit,2012,21.6,Healthcare Access
children,Asian girls,Practice nurse visit,2012,23.3,Healthcare Access
children,European/Other boys,Practice nurse visit,2012,26.4,Healthcare Access
children,European/Other girls,Practice nurse visit,2012,28.2,Healthcare Access
children,Northern boys,Practice nurse visit,2012,17.9,Healthcare Access
children,Midland boys,Practice nurse visit,2012,23.9,Healthcare Access
children,Central boys,Practice nurse visit,2012,30.0,Healthcare Access
children,South Island boys,Practice nurse visit,2012,30.3,Healthcare Access
children,Northern girls,Practice nurse visit,2012,23.6,Healthcare Access
children,Midland girls,Practice nurse visit,2012,24.5,Healthcare Access
children,Central girls,Practice nurse visit,2012,27.0,Healthcare Access
children,South Island girls,Practice nurse visit,2012,29.3,Healthcare Access
children,Total Non-disabled,Practice nurse visit,2012,0.0,Healthcare Access
children,Total Disabled,Practice nurse visit,2012,0.0,Healthcare Access
children,Non-disabled boys,Practice nurse visit,2012,0.0,Healthcare Access
children,Disabled boys,Practice nurse visit,2012,0.0,Healthcare Access
children,Non-disabled girls,Practice nurse visit,2012,0.0,Healthcare Access
children,Disabled girls,Practice nurse visit,2012,0.0,Healthcare Access
children,Total,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Boys,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,Girls,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,"0-4",Mean number of practice nurse visits,2012,0.8,Healthcare Access
children,"5-9",Mean number of practice nurse visits,2012,0.3,Healthcare Access
children,"10-14",Mean number of practice nurse visits,2012,0.3,Healthcare Access
children,Total Māori,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Total Pacific,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,Total Asian,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,Total European/Other,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Total Northern,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,Total Midland,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,Total Central,Mean number of practice nurse visits,2012,0.6,Healthcare Access
children,Total South Island,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Māori boys,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Māori girls,Mean number of practice nurse visits,2012,0.6,Healthcare Access
children,Pacific boys,Mean number of practice nurse visits,2012,0.3,Healthcare Access
children,Pacific girls,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Asian boys,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,Asian girls,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,European/Other boys,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,European/Other girls,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Northern boys,Mean number of practice nurse visits,2012,0.3,Healthcare Access
children,Midland boys,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Central boys,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,South Island boys,Mean number of practice nurse visits,2012,0.6,Healthcare Access
children,Northern girls,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Midland girls,Mean number of practice nurse visits,2012,0.4,Healthcare Access
children,Central girls,Mean number of practice nurse visits,2012,0.6,Healthcare Access
children,South Island girls,Mean number of practice nurse visits,2012,0.5,Healthcare Access
children,Total Non-disabled,Mean number of practice nurse visits,2012,0.0,Healthcare Access
children,Total Disabled,Mean number of practice nurse visits,2012,0.0,Healthcare Access
children,Non-disabled boys,Mean number of practice nurse visits,2012,0.0,Healthcare Access
children,Disabled boys,Mean number of practice nurse visits,2012,0.0,Healthcare Access
children,Non-disabled girls,Mean number of practice nurse visits,2012,0.0,Healthcare Access
children,Disabled girls,Mean number of practice nurse visits,2012,0.0,Healthcare Access
children,Total,Has usual medical centre,2012,97.2,Healthcare Access
children,Boys,Has usual medical centre,2012,97.4,Healthcare Access
children,Girls,Has usual medical centre,2012,96.9,Healthcare Access
children,"0-4",Has usual medical centre,2012,97.6,Healthcare Access
children,"5-9",Has usual medical centre,2012,97.6,Healthcare Access
children,"10-14",Has usual medical centre,2012,96.2,Healthcare Access
children,Total Māori,Has usual medical centre,2012,97.7,Healthcare Access
children,Total Pacific,Has usual medical centre,2012,98.3,Healthcare Access
children,Total Asian,Has usual medical centre,2012,94.2,Healthcare Access
children,Total European/Other,Has usual medical centre,2012,97.4,Healthcare Access
children,Total Northern,Has usual medical centre,2012,96.6,Healthcare Access
children,Total Midland,Has usual medical centre,2012,97.1,Healthcare Access
children,Total Central,Has usual medical centre,2012,96.8,Healthcare Access
children,Total South Island,Has usual medical centre,2012,98.6,Healthcare Access
children,Māori boys,Has usual medical centre,2012,98.1,Healthcare Access
children,Māori girls,Has usual medical centre,2012,97.3,Healthcare Access
children,Pacific boys,Has usual medical centre,2012,97.1,Healthcare Access
children,Pacific girls,Has usual medical centre,2012,99.5,Healthcare Access
children,Asian boys,Has usual medical centre,2012,93.8,Healthcare Access
children,Asian girls,Has usual medical centre,2012,94.6,Healthcare Access
children,European/Other boys,Has usual medical centre,2012,97.8,Healthcare Access
children,European/Other girls,Has usual medical centre,2012,96.8,Healthcare Access
children,Northern boys,Has usual medical centre,2012,97.6,Healthcare Access
children,Midland boys,Has usual medical centre,2012,97.3,Healthcare Access
children,Central boys,Has usual medical centre,2012,96.5,Healthcare Access
children,South Island boys,Has usual medical centre,2012,98.4,Healthcare Access
children,Northern girls,Has usual medical centre,2012,95.5,Healthcare Access
children,Midland girls,Has usual medical centre,2012,96.9,Healthcare Access
children,Central girls,Has usual medical centre,2012,97.1,Healthcare Access
children,South Island girls,Has usual medical centre,2012,98.7,Healthcare Access
children,Total Non-disabled,Has usual medical centre,2012,0.0,Healthcare Access
children,Total Disabled,Has usual medical centre,2012,0.0,Healthcare Access
children,Non-disabled boys,Has usual medical centre,2012,0.0,Healthcare Access
children,Disabled boys,Has usual medical centre,2012,0.0,Healthcare Access
children,Non-disabled girls,Has usual medical centre,2012,0.0,Healthcare Access
children,Disabled girls,Has usual medical centre,2012,0.0,Healthcare Access
children,Total,GP at usual medical centre,2012,0.0,Healthcare Access
children,Boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,"0-4",GP at usual medical centre,2012,0.0,Healthcare Access
children,"5-9",GP at usual medical centre,2012,0.0,Healthcare Access
children,"10-14",GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Māori,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Pacific,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Asian,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total European/Other,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Northern,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Midland,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Central,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total South Island,GP at usual medical centre,2012,0.0,Healthcare Access
children,Māori boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Māori girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Pacific boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Pacific girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Asian boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Asian girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,European/Other boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,European/Other girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Northern boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Midland boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Central boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,South Island boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Northern girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Midland girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Central girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,South Island girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Non-disabled,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total Disabled,GP at usual medical centre,2012,0.0,Healthcare Access
children,Non-disabled boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Disabled boys,GP at usual medical centre,2012,0.0,Healthcare Access
children,Non-disabled girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Disabled girls,GP at usual medical centre,2012,0.0,Healthcare Access
children,Total,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,"0-4",Nurse at usual medical centre,2012,0.0,Healthcare Access
children,"5-9",Nurse at usual medical centre,2012,0.0,Healthcare Access
children,"10-14",Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Māori,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Pacific,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Asian,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total European/Other,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Northern,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Midland,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Central,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total South Island,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Māori boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Māori girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Pacific boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Pacific girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Asian boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Asian girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,European/Other boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,European/Other girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Northern boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Midland boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Central boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,South Island boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Northern girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Midland girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Central girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,South Island girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Non-disabled,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total Disabled,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Non-disabled boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Disabled boys,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Non-disabled girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Disabled girls,Nurse at usual medical centre,2012,0.0,Healthcare Access
children,Total,Unmet need for GP due to cost,2012,6.4,Healthcare Access
children,Boys,Unmet need for GP due to cost,2012,6.0,Healthcare Access
children,Girls,Unmet need for GP due to cost,2012,6.8,Healthcare Access
children,"0-4",Unmet need for GP due to cost,2012,2.5,Healthcare Access
children,"5-9",Unmet need for GP due to cost,2012,7.6,Healthcare Access
children,"10-14",Unmet need for GP due to cost,2012,9.2,Healthcare Access
children,Total Māori,Unmet need for GP due to cost,2012,9.3,Healthcare Access
children,Total Pacific,Unmet need for GP due to cost,2012,7.7,Healthcare Access
children,Total Asian,Unmet need for GP due to cost,2012,5.2,Healthcare Access
children,Total European/Other,Unmet need for GP due to cost,2012,6.0,Healthcare Access
children,Total Northern,Unmet need for GP due to cost,2012,5.3,Healthcare Access
children,Total Midland,Unmet need for GP due to cost,2012,4.3,Healthcare Access
children,Total Central,Unmet need for GP due to cost,2012,11.5,Healthcare Access
children,Total South Island,Unmet need for GP due to cost,2012,5.8,Healthcare Access
children,Māori boys,Unmet need for GP due to cost,2012,8.7,Healthcare Access
children,Māori girls,Unmet need for GP due to cost,2012,9.8,Healthcare Access
children,Pacific boys,Unmet need for GP due to cost,2012,5.7,Healthcare Access
children,Pacific girls,Unmet need for GP due to cost,2012,9.7,Healthcare Access
children,Asian boys,Unmet need for GP due to cost,2012,5.3,Healthcare Access
