"population","demographic_group","indicator","survey_year","value","indicator_type"
children,Māori girls,Parent-rated health - good,2011,9.6,Other
children,Pacific boys,Parent-rated health - good,2011,14.7,Other
children,Pacific girls,Parent-rated health - good,2011,12.1,Other
children,Asian boys,Parent-rated health - good,2011,10.5,Other
children,Asian girls,Parent-rated health - good,2011,10.5,Other
children,European/Other boys,Parent-rated health - good,2011,7.6,Other
children,European/Other girls,Parent-rated health - good,2011,8.1,Other
children,Northern boys,Parent-rated health - good,2011,10.5,Other
children,Midland boys,Parent-rated health - good,2011,7.0,Other
children,Central boys,Parent-rated health - good,2011,12.0,Other
children,South Island boys,Parent-rated health - good,2011,6.1,Other
children,Northern girls,Parent-rated health - good,2011,10.2,Other
children,Midland girls,Parent-rated health - good,2011,8.3,Other
children,Central girls,Parent-rated health - good,2011,10.3,Other
children,South Island girls,Parent-rated health - good,2011,6.1,Other
children,Total Non-disabled,Parent-rated health - good,2011,0.0,Other
children,Total Disabled,Parent-rated health - good,2011,0.0,Other
children,Non-disabled boys,Parent-rated health - good,2011,0.0,Other
children,Disabled boys,Parent-rated health - good,2011,0.0,Other
children,Non-disabled girls,Parent-rated health - good,2011,0.0,Other
children,Disabled girls,Parent-rated health - good,2011,0.0,Other
children,Total,Poor or fair parent-rated health,2011,2.1,Other
children,Boys,Poor or fair parent-rated health,2011,2.5,Other
children,Girls,Poor or fair parent-rated health,2011,1.7,Other
children,"0-4",Poor or fair parent-rated health,2011,2.5,Other
children,"5-9",Poor or fair parent-rated health,2011,1.8,Other
children,"10-14",Poor or fair parent-rated health,2011,2.1,Other
children,Total Māori,Poor or fair parent-rated health,2011,3.2,Other
children,Total Pacific,Poor or fair parent-rated health,2011,1.9,Other
children,Total Asian,Poor or fair parent-rated health,2011,1.9,Other
children,Total European/Other,Poor or fair parent-rated health,2011,2.3,Other
children,Total Northern,Poor or fair parent-rated health,2011,1.8,Other
children,Total Midland,Poor or fair parent-rated health,2011,3.3,Other
children,Total Central,Poor or fair parent-rated health,2011,2.2,Other
children,Total South Island,Poor or fair parent-rated health,2011,1.6,Other
children,Māori boys,Poor or fair parent-rated health,2011,3.4,Other
children,Māori girls,Poor or fair parent-rated health,2011,3.1,Other
children,Pacific boys,Poor or fair parent-rated health,2011,2.7,Other
children,Pacific girls,Poor or fair parent-rated health,2011,1.2,Other
children,Asian boys,Poor or fair parent-rated health,2011,1.0,Other
children,Asian girls,Poor or fair parent-rated health,2011,2.9,Other
children,European/Other boys,Poor or fair parent-rated health,2011,2.8,Other
children,European/Other girls,Poor or fair parent-rated health,2011,1.7,Other
children,Northern boys,Poor or fair parent-rated health,2011,2.4,Other
children,Midland boys,Poor or fair parent-rated health,2011,3.9,Other
children,Central boys,Poor or fair parent-rated health,2011,1.8,Other
children,South Island boys,Poor or fair parent-rated health,2011,2.0,Other
children,Northern girls,Poor or fair parent-rated health,2011,1.0,Other
children,Midland girls,Poor or fair parent-rated health,2011,2.7,Other
children,Central girls,Poor or fair parent-rated health,2011,2.6,Other
children,South Island girls,Poor or fair parent-rated health,2011,1.2,Other
children,Total Non-disabled,Poor or fair parent-rated health,2011,0.0,Other
children,Total Disabled,Poor or fair parent-rated health,2011,0.0,Other
children,Non-disabled boys,Poor or fair parent-rated health,2011,0.0,Other
children,Disabled boys,Poor or fair parent-rated health,2011,0.0,Other
children,Non-disabled girls,Poor or fair parent-rated health,2011,0.0,Other
children,Disabled girls,Poor or fair parent-rated health,2011,0.0,Other
children,Total,Parent-rated health - excellent,2011,59.7,Other
children,Boys,Parent-rated health - excellent,2011,58.3,Other
children,Girls,Parent-rated health - excellent,2011,61.2,Other
children,"0-4",Parent-rated health - excellent,2011,58.6,Other
children,"5-9",Parent-rated health - excellent,2011,58.9,Other
children,"10-14",Parent-rated health - excellent,2011,61.7,Other
children,Total Māori,Parent-rated health - excellent,2011,53.3,Other
children,Total Pacific,Parent-rated health - excellent,2011,49.9,Other
children,Total Asian,Parent-rated health - excellent,2011,52.4,Other
children,Total European/Other,Parent-rated health - excellent,2011,63.2,Other
children,Total Northern,Parent-rated health - excellent,2011,55.0,Other
children,Total Midland,Parent-rated health - excellent,2011,58.6,Other
children,Total Central,Parent-rated health - excellent,2011,54.8,Other
children,Total South Island,Parent-rated health - excellent,2011,74.4,Other
children,Māori boys,Parent-rated health - excellent,2011,51.6,Other
children,Māori girls,Parent-rated health - excellent,2011,55.0,Other
children,Pacific boys,Parent-rated health - excellent,2011,45.2,Other
children,Pacific girls,Parent-rated health - excellent,2011,54.7,Other
children,Asian boys,Parent-rated health - excellent,2011,57.5,Other
children,Asian girls,Parent-rated health - excellent,2011,46.7,Other
children,European/Other boys,Parent-rated health - excellent,2011,61.8,Other
children,European/Other girls,Parent-rated health - excellent,2011,64.7,Other
children,Northern boys,Parent-rated health - excellent,2011,52.3,Other
children,Midland boys,Parent-rated health - excellent,2011,58.5,Other
children,Central boys,Parent-rated health - excellent,2011,51.1,Other
children,South Island boys,Parent-rated health - excellent,2011,77.1,Other
children,Northern girls,Parent-rated health - excellent,2011,58.2,Other
children,Midland girls,Parent-rated health - excellent,2011,58.7,Other
children,Central girls,Parent-rated health - excellent,2011,58.1,Other
children,South Island girls,Parent-rated health - excellent,2011,71.8,Other
children,Total Non-disabled,Parent-rated health - excellent,2011,0.0,Other
children,Total Disabled,Parent-rated health - excellent,2011,0.0,Other
children,Non-disabled boys,Parent-rated health - excellent,2011,0.0,Other
children,Disabled boys,Parent-rated health - excellent,2011,0.0,Other
children,Non-disabled girls,Parent-rated health - excellent,2011,0.0,Other
children,Disabled girls,Parent-rated health - excellent,2011,0.0,Other
children,Total,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,"1-4","Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,"5-9","Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,"10-14","Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Māori,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Pacific,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Asian,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total European/Other,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Northern,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Midland,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Central,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total South Island,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Māori boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Māori girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Pacific boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Pacific girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Asian boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Asian girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,European/Other boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,European/Other girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Northern boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Midland boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Central boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,South Island boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Northern girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Midland girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Central girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,South Island girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Non-disabled,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total Disabled,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Non-disabled boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Disabled boys,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Non-disabled girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Disabled girls,"Excellent, very good or good parent-rated oral health",2011,0.0,Other
children,Total,Teeth removed due to decay in past 12 months,2011,4.0,Other
children,Boys,Teeth removed due to decay in past 12 months,2011,4.5,Other
children,Girls,Teeth removed due to decay in past 12 months,2011,3.5,Other
children,"1-4",Teeth removed due to decay in past 12 months,2011,0.8,Other
children,"5-9",Teeth removed due to decay in past 12 months,2011,7.7,Other
children,"10-14",Teeth removed due to decay in past 12 months,2011,3.1,Other
children,Total Māori,Teeth removed due to decay in past 12 months,2011,5.8,Other
children,Total Pacific,Teeth removed due to decay in past 12 months,2011,6.2,Other
children,Total Asian,Teeth removed due to decay in past 12 months,2011,5.7,Other
children,Total European/Other,Teeth removed due to decay in past 12 months,2011,3.1,Other
children,Total Northern,Teeth removed due to decay in past 12 months,2011,5.3,Other
children,Total Midland,Teeth removed due to decay in past 12 months,2011,2.3,Other
children,Total Central,Teeth removed due to decay in past 12 months,2011,3.9,Other
children,Total South Island,Teeth removed due to decay in past 12 months,2011,3.5,Other
children,Māori boys,Teeth removed due to decay in past 12 months,2011,5.8,Other
children,Māori girls,Teeth removed due to decay in past 12 months,2011,5.9,Other
children,Pacific boys,Teeth removed due to decay in past 12 months,2011,7.3,Other
children,Pacific girls,Teeth removed due to decay in past 12 months,2011,5.0,Other
children,Asian boys,Teeth removed due to decay in past 12 months,2011,7.6,Other
children,Asian girls,Teeth removed due to decay in past 12 months,2011,3.5,Other
children,European/Other boys,Teeth removed due to decay in past 12 months,2011,3.7,Other
children,European/Other girls,Teeth removed due to decay in past 12 months,2011,2.5,Other
children,Northern boys,Teeth removed due to decay in past 12 months,2011,5.4,Other
children,Midland boys,Teeth removed due to decay in past 12 months,2011,2.0,Other
children,Central boys,Teeth removed due to decay in past 12 months,2011,5.2,Other
children,South Island boys,Teeth removed due to decay in past 12 months,2011,4.5,Other
children,Northern girls,Teeth removed due to decay in past 12 months,2011,5.2,Other
children,Midland girls,Teeth removed due to decay in past 12 months,2011,2.5,Other
children,Central girls,Teeth removed due to decay in past 12 months,2011,2.8,Other
children,South Island girls,Teeth removed due to decay in past 12 months,2011,2.5,Other
children,Total Non-disabled,Teeth removed due to decay in past 12 months,2011,0.0,Other
children,Total Disabled,Teeth removed due to decay in past 12 months,2011,0.0,Other
children,Non-disabled boys,Teeth removed due to decay in past 12 months,2011,0.0,Other
children,Disabled boys,Teeth removed due to decay in past 12 months,2011,0.0,Other
children,Non-disabled girls,Teeth removed due to decay in past 12 months,2011,0.0,Other
children,Disabled girls,Teeth removed due to decay in past 12 months,2011,0.0,Other
children,Total,Teeth removed due to decay in lifetime,2011,11.1,Other
children,Boys,Teeth removed due to decay in lifetime,2011,11.4,Other
children,Girls,Teeth removed due to decay in lifetime,2011,10.8,Other
children,"1-4",Teeth removed due to decay in lifetime,2011,1.7,Other
children,"5-9",Teeth removed due to decay in lifetime,2011,13.9,Other
children,"10-14",Teeth removed due to decay in lifetime,2011,16.5,Other
children,Total Māori,Teeth removed due to decay in lifetime,2011,14.7,Other
children,Total Pacific,Teeth removed due to decay in lifetime,2011,12.6,Other
children,Total Asian,Teeth removed due to decay in lifetime,2011,10.6,Other
children,Total European/Other,Teeth removed due to decay in lifetime,2011,10.1,Other
children,Total Northern,Teeth removed due to decay in lifetime,2011,11.1,Other
children,Total Midland,Teeth removed due to decay in lifetime,2011,10.2,Other
children,Total Central,Teeth removed due to decay in lifetime,2011,10.5,Other
children,Total South Island,Teeth removed due to decay in lifetime,2011,12.9,Other
children,Māori boys,Teeth removed due to decay in lifetime,2011,15.6,Other
children,Māori girls,Teeth removed due to decay in lifetime,2011,13.8,Other
children,Pacific boys,Teeth removed due to decay in lifetime,2011,14.9,Other
children,Pacific girls,Teeth removed due to decay in lifetime,2011,10.2,Other
children,Asian boys,Teeth removed due to decay in lifetime,2011,10.6,Other
children,Asian girls,Teeth removed due to decay in lifetime,2011,10.6,Other
children,European/Other boys,Teeth removed due to decay in lifetime,2011,10.1,Other
