"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
children,Dental health care worker visit,2024,Disabled children vs non-disabled children (5-14),0.99,0.91,1.07,"Age, gender"
children,ED visit,2024,Boys vs girls,1.21,0.99,1.49,Age
children,ED visit,2024,Māori vs non-Māori,1.1,0.89,1.35,"Age, gender"
children,ED visit,2024,Māori boys vs non-Māori boys,1.04,0.81,1.33,Age
children,ED visit,2024,Māori girls vs non-Māori girls,1.17,0.87,1.57,Age
children,ED visit,2024,Pacific vs non-Pacific,0.99,0.78,1.25,"Age, gender"
children,ED visit,2024,Pacific boys vs non-Pacific boys,0.86,0.6,1.25,Age
children,ED visit,2024,Pacific girls vs non-Pacific girls,1.12,0.78,1.62,Age
children,ED visit,2024,Asian vs non-Asian,0.94,0.76,1.17,"Age, gender"
children,ED visit,2024,Asian boys vs non-Asian boys,0.97,0.73,1.29,Age
children,ED visit,2024,Asian girls vs non-Asian girls,0.92,0.65,1.3,Age
children,ED visit,2024,Most deprived vs least deprived,1.18,0.82,1.7,"Age, gender, ethnic group"
children,ED visit,2024,Most deprived vs least deprived - boys,0.99,0.66,1.48,"Age, ethnic group"
children,ED visit,2024,Most deprived vs least deprived - girls,1.46,0.83,2.59,"Age, ethnic group"
children,ED visit,2024,Disabled children vs non-disabled children (5-14),1.51,1.04,2.2,"Age, gender"
children,Private health insurance,2024,Boys vs girls,0.94,0.81,1.09,Age
children,Private health insurance,2024,Māori vs non-Māori,0.61,0.49,0.74,"Age, gender"
children,Private health insurance,2024,Māori boys vs non-Māori boys,0.76,0.57,1.01,Age
children,Private health insurance,2024,Māori girls vs non-Māori girls,0.47,0.34,0.65,Age
children,Private health insurance,2024,Pacific vs non-Pacific,0.5,0.33,0.78,"Age, gender"
children,Private health insurance,2024,Pacific boys vs non-Pacific boys,0.46,0.24,0.88,Age
children,Private health insurance,2024,Pacific girls vs non-Pacific girls,0.54,0.35,0.84,Age
children,Private health insurance,2024,Asian vs non-Asian,1.06,0.88,1.27,"Age, gender"
children,Private health insurance,2024,Asian boys vs non-Asian boys,1.11,0.83,1.47,Age
children,Private health insurance,2024,Asian girls vs non-Asian girls,1.01,0.81,1.26,Age
children,Private health insurance,2024,Most deprived vs least deprived,0.27,0.2,0.37,"Age, gender, ethnic group"
children,Private health insurance,2024,Most deprived vs least deprived - boys,0.23,0.15,0.36,"Age, ethnic group"
children,Private health insurance,2024,Most deprived vs least deprived - girls,0.33,0.22,0.5,"Age, ethnic group"
children,Private health insurance,2024,Disabled children vs non-disabled children (5-14),0.72,0.52,0.99,"Age, gender"
children,Emotional symptoms,2024,Boys vs girls,0.85,0.63,1.15,Age
children,Emotional symptoms,2024,Māori vs non-Māori,1.12,0.88,1.43,"Age, gender"
children,Emotional symptoms,2024,Māori boys vs non-Māori boys,1.11,0.77,1.59,Age
children,Emotional symptoms,2024,Māori girls vs non-Māori girls,1.13,0.79,1.6,Age
children,Emotional symptoms,2024,Pacific vs non-Pacific,1.21,0.86,1.71,"Age, gender"
children,Emotional symptoms,2024,Pacific boys vs non-Pacific boys,1.11,0.65,1.87,Age
children,Emotional symptoms,2024,Pacific girls vs non-Pacific girls,1.31,0.82,2.08,Age
children,Emotional symptoms,2024,Asian vs non-Asian,0.46,0.31,0.67,"Age, gender"
children,Emotional symptoms,2024,Asian boys vs non-Asian boys,0.42,0.25,0.7,Age
children,Emotional symptoms,2024,Asian girls vs non-Asian girls,0.49,0.29,0.82,Age
children,Emotional symptoms,2024,Most deprived vs least deprived,1.65,1.06,2.56,"Age, gender, ethnic group"
children,Emotional symptoms,2024,Most deprived vs least deprived - boys,2.22,1.06,4.62,"Age, ethnic group"
children,Emotional symptoms,2024,Most deprived vs least deprived - girls,1.31,0.71,2.4,"Age, ethnic group"
children,Emotional symptoms,2024,Disabled children vs non-disabled children (5-14),5.29,4.1,6.81,"Age, gender"
children,Conduct problems,2024,Boys vs girls,1.16,0.88,1.53,Age
children,Conduct problems,2024,Māori vs non-Māori,1.43,1.06,1.92,"Age, gender"
children,Conduct problems,2024,Māori boys vs non-Māori boys,1.15,0.76,1.75,Age
children,Conduct problems,2024,Māori girls vs non-Māori girls,1.81,1.21,2.71,Age
children,Conduct problems,2024,Pacific vs non-Pacific,1.23,0.79,1.91,"Age, gender"
children,Conduct problems,2024,Pacific boys vs non-Pacific boys,1.17,0.66,2.1,Age
children,Conduct problems,2024,Pacific girls vs non-Pacific girls,1.29,0.74,2.27,Age
children,Conduct problems,2024,Asian vs non-Asian,0.65,0.43,0.99,"Age, gender"
children,Conduct problems,2024,Asian boys vs non-Asian boys,0.7,0.37,1.32,Age
children,Conduct problems,2024,Asian girls vs non-Asian girls,0.59,0.29,1.21,Age
children,Conduct problems,2024,Most deprived vs least deprived,1.52,0.83,2.79,"Age, gender, ethnic group"
children,Conduct problems,2024,Most deprived vs least deprived - boys,1.75,0.79,3.85,"Age, ethnic group"
children,Conduct problems,2024,Most deprived vs least deprived - girls,1.26,0.51,3.15,"Age, ethnic group"
children,Conduct problems,2024,Disabled children vs non-disabled children (5-14),4.97,3.6,6.86,"Age, gender"
children,Hyperactivity,2024,Boys vs girls,1.64,1.19,2.27,Age
children,Hyperactivity,2024,Māori vs non-Māori,1.4,1.01,1.94,"Age, gender"
children,Hyperactivity,2024,Māori boys vs non-Māori boys,1.44,0.91,2.28,Age
children,Hyperactivity,2024,Māori girls vs non-Māori girls,1.33,0.83,2.14,Age
children,Hyperactivity,2024,Pacific vs non-Pacific,1.08,0.75,1.55,"Age, gender"
children,Hyperactivity,2024,Pacific boys vs non-Pacific boys,1.07,0.71,1.61,Age
children,Hyperactivity,2024,Pacific girls vs non-Pacific girls,1.1,0.5,2.38,Age
children,Hyperactivity,2024,Asian vs non-Asian,0.45,0.28,0.74,"Age, gender"
children,Hyperactivity,2024,Asian boys vs non-Asian boys,0.49,0.26,0.94,Age
children,Hyperactivity,2024,Asian girls vs non-Asian girls,0.38,0.17,0.85,Age
children,Hyperactivity,2024,Most deprived vs least deprived,1.68,1.02,2.78,"Age, gender, ethnic group"
children,Hyperactivity,2024,Most deprived vs least deprived - boys,1.6,0.81,3.16,"Age, ethnic group"
children,Hyperactivity,2024,Most deprived vs least deprived - girls,1.87,0.85,4.08,"Age, ethnic group"
children,Hyperactivity,2024,Disabled children vs non-disabled children (5-14),6.69,4.94,9.06,"Age, gender"
children,Peer problems,2024,Boys vs girls,1.05,0.77,1.43,Age
children,Peer problems,2024,Māori vs non-Māori,1.06,0.83,1.35,"Age, gender"
children,Peer problems,2024,Māori boys vs non-Māori boys,1.29,0.92,1.79,Age
children,Peer problems,2024,Māori girls vs non-Māori girls,0.84,0.57,1.22,Age
children,Peer problems,2024,Pacific vs non-Pacific,1.69,1.27,2.25,"Age, gender"
children,Peer problems,2024,Pacific boys vs non-Pacific boys,1.52,1.05,2.21,Age
children,Peer problems,2024,Pacific girls vs non-Pacific girls,1.89,1.21,2.94,Age
children,Peer problems,2024,Asian vs non-Asian,0.96,0.73,1.28,"Age, gender"
children,Peer problems,2024,Asian boys vs non-Asian boys,0.93,0.6,1.44,Age
children,Peer problems,2024,Asian girls vs non-Asian girls,0.98,0.64,1.49,Age
children,Peer problems,2024,Most deprived vs least deprived,1.6,0.98,2.61,"Age, gender, ethnic group"
children,Peer problems,2024,Most deprived vs least deprived - boys,2.19,1.05,4.56,"Age, ethnic group"
children,Peer problems,2024,Most deprived vs least deprived - girls,1.26,0.66,2.42,"Age, ethnic group"
children,Peer problems,2024,Disabled children vs non-disabled children (5-14),4.44,3.47,5.69,"Age, gender"
children,Emotional and/or behavioural problems,2024,Boys vs girls,1.35,0.96,1.88,Age
children,Emotional and/or behavioural problems,2024,Māori vs non-Māori,1.25,0.93,1.68,"Age, gender"
children,Emotional and/or behavioural problems,2024,Māori boys vs non-Māori boys,1.12,0.75,1.66,Age
children,Emotional and/or behavioural problems,2024,Māori girls vs non-Māori girls,1.44,0.9,2.29,Age
children,Emotional and/or behavioural problems,2024,Pacific vs non-Pacific,1.41,0.96,2.08,"Age, gender"
children,Emotional and/or behavioural problems,2024,Pacific boys vs non-Pacific boys,1.25,0.78,1.99,Age
children,Emotional and/or behavioural problems,2024,Pacific girls vs non-Pacific girls,1.61,0.91,2.85,Age
children,Emotional and/or behavioural problems,2024,Asian vs non-Asian,0.42,0.26,0.68,"Age, gender"
children,Emotional and/or behavioural problems,2024,Asian boys vs non-Asian boys,0.43,0.19,0.93,Age
children,Emotional and/or behavioural problems,2024,Asian girls vs non-Asian girls,0.42,0.21,0.81,Age
children,Emotional and/or behavioural problems,2024,Most deprived vs least deprived,1.77,0.95,3.29,"Age, gender, ethnic group"
children,Emotional and/or behavioural problems,2024,Most deprived vs least deprived - boys,2.45,1.11,5.37,"Age, ethnic group"
children,Emotional and/or behavioural problems,2024,Most deprived vs least deprived - girls,1.18,0.49,2.81,"Age, ethnic group"
children,Emotional and/or behavioural problems,2024,Disabled children vs non-disabled children (5-14),9.86,6.82,14.25,"Age, gender"
children,Prosocial behaviour,2024,Boys vs girls,0.95,0.92,0.98,Age
children,Prosocial behaviour,2024,Māori vs non-Māori,1.0,0.97,1.03,"Age, gender"
children,Prosocial behaviour,2024,Māori boys vs non-Māori boys,1.03,0.97,1.09,Age
children,Prosocial behaviour,2024,Māori girls vs non-Māori girls,0.97,0.94,1.01,Age
children,Prosocial behaviour,2024,Pacific vs non-Pacific,1.0,0.97,1.04,"Age, gender"
children,Prosocial behaviour,2024,Pacific boys vs non-Pacific boys,1.01,0.93,1.09,Age
children,Prosocial behaviour,2024,Pacific girls vs non-Pacific girls,1.0,0.96,1.04,Age
children,Prosocial behaviour,2024,Asian vs non-Asian,1.03,1.0,1.06,"Age, gender"
children,Prosocial behaviour,2024,Asian boys vs non-Asian boys,1.04,0.99,1.09,Age
children,Prosocial behaviour,2024,Asian girls vs non-Asian girls,1.01,0.98,1.05,Age
children,Prosocial behaviour,2024,Most deprived vs least deprived,0.96,0.9,1.01,"Age, gender, ethnic group"
children,Prosocial behaviour,2024,Most deprived vs least deprived - boys,0.93,0.84,1.02,"Age, ethnic group"
children,Prosocial behaviour,2024,Most deprived vs least deprived - girls,0.99,0.91,1.07,"Age, ethnic group"
children,Prosocial behaviour,2024,Disabled children vs non-disabled children (5-14),0.83,0.75,0.92,"Age, gender"
children,Breakfast <5 days a week,2024,Boys vs girls,0.74,0.56,0.97,Age
children,Breakfast <5 days a week,2024,Māori vs non-Māori,2.29,1.73,3.03,"Age, gender"
children,Breakfast <5 days a week,2024,Māori boys vs non-Māori boys,2.58,1.77,3.75,Age
children,Breakfast <5 days a week,2024,Māori girls vs non-Māori girls,2.08,1.52,2.86,Age
children,Breakfast <5 days a week,2024,Pacific vs non-Pacific,2.25,1.68,3.02,"Age, gender"
children,Breakfast <5 days a week,2024,Pacific boys vs non-Pacific boys,3.97,2.66,5.9,Age
children,Breakfast <5 days a week,2024,Pacific girls vs non-Pacific girls,1.37,0.91,2.06,Age
children,Breakfast <5 days a week,2024,Asian vs non-Asian,0.59,0.38,0.91,"Age, gender"
children,Breakfast <5 days a week,2024,Asian boys vs non-Asian boys,0.47,0.17,1.29,Age
children,Breakfast <5 days a week,2024,Asian girls vs non-Asian girls,0.67,0.39,1.15,Age
children,Breakfast <5 days a week,2024,Most deprived vs least deprived,2.11,1.29,3.48,"Age, gender, ethnic group"
children,Breakfast <5 days a week,2024,Most deprived vs least deprived - boys,2.71,1.22,6.02,"Age, ethnic group"
children,Breakfast <5 days a week,2024,Most deprived vs least deprived - girls,1.78,0.93,3.39,"Age, ethnic group"
children,Breakfast <5 days a week,2024,Disabled children vs non-disabled children (5-14),1.17,0.82,1.67,"Age, gender"
children,Breakfast eaten every day,2024,Boys vs girls,1.09,1.04,1.15,Age
children,Breakfast eaten every day,2024,Māori vs non-Māori,0.83,0.77,0.9,"Age, gender"
children,Breakfast eaten every day,2024,Māori boys vs non-Māori boys,0.84,0.77,0.92,Age
children,Breakfast eaten every day,2024,Māori girls vs non-Māori girls,0.82,0.74,0.92,Age
children,Breakfast eaten every day,2024,Pacific vs non-Pacific,0.85,0.77,0.93,"Age, gender"
children,Breakfast eaten every day,2024,Pacific boys vs non-Pacific boys,0.69,0.58,0.83,Age
children,Breakfast eaten every day,2024,Pacific girls vs non-Pacific girls,0.98,0.88,1.1,Age
children,Breakfast eaten every day,2024,Asian vs non-Asian,1.09,1.03,1.16,"Age, gender"
children,Breakfast eaten every day,2024,Asian boys vs non-Asian boys,1.13,1.05,1.22,Age
children,Breakfast eaten every day,2024,Asian girls vs non-Asian girls,1.06,0.96,1.18,Age
children,Breakfast eaten every day,2024,Most deprived vs least deprived,0.84,0.76,0.92,"Age, gender, ethnic group"
children,Breakfast eaten every day,2024,Most deprived vs least deprived - boys,0.86,0.77,0.95,"Age, ethnic group"
children,Breakfast eaten every day,2024,Most deprived vs least deprived - girls,0.82,0.71,0.95,"Age, ethnic group"
children,Breakfast eaten every day,2024,Disabled children vs non-disabled children (5-14),0.93,0.85,1.02,"Age, gender"
children,Meets fruit recommendation,2024,Boys vs girls,0.94,0.88,1.01,Age
children,Meets fruit recommendation,2024,Māori vs non-Māori,1.02,0.95,1.09,"Age, gender"
children,Meets fruit recommendation,2024,Māori boys vs non-Māori boys,1.0,0.9,1.12,Age
children,Meets fruit recommendation,2024,Māori girls vs non-Māori girls,1.03,0.94,1.13,Age
children,Meets fruit recommendation,2024,Pacific vs non-Pacific,0.92,0.84,1.01,"Age, gender"
children,Meets fruit recommendation,2024,Pacific boys vs non-Pacific boys,0.85,0.71,1.03,Age
children,Meets fruit recommendation,2024,Pacific girls vs non-Pacific girls,0.98,0.87,1.09,Age
children,Meets fruit recommendation,2024,Asian vs non-Asian,0.82,0.76,0.89,"Age, gender"
children,Meets fruit recommendation,2024,Asian boys vs non-Asian boys,0.83,0.74,0.94,Age
children,Meets fruit recommendation,2024,Asian girls vs non-Asian girls,0.82,0.73,0.92,Age
children,Meets fruit recommendation,2024,Most deprived vs least deprived,0.9,0.8,1.01,"Age, gender, ethnic group"
children,Meets fruit recommendation,2024,Most deprived vs least deprived - boys,0.95,0.79,1.14,"Age, ethnic group"
children,Meets fruit recommendation,2024,Most deprived vs least deprived - girls,0.84,0.73,0.96,"Age, ethnic group"
children,Meets fruit recommendation,2024,Disabled children vs non-disabled children (5-14),0.97,0.85,1.11,"Age, gender"
children,Meets vegetable recommendation,2024,Boys vs girls,1.3,0.87,1.95,Age
children,Meets vegetable recommendation,2024,Māori vs non-Māori,1.13,0.72,1.79,"Age, gender"
children,Meets vegetable recommendation,2024,Māori boys vs non-Māori boys,0.75,0.38,1.48,Age
children,Meets vegetable recommendation,2024,Māori girls vs non-Māori girls,1.79,0.96,3.32,Age
children,Meets vegetable recommendation,2024,Pacific vs non-Pacific,0.67,0.35,1.29,"Age, gender"
children,Meets vegetable recommendation,2024,Pacific boys vs non-Pacific boys,0.6,0.23,1.57,Age
children,Meets vegetable recommendation,2024,Pacific girls vs non-Pacific girls,0.75,0.27,2.11,Age
children,Meets vegetable recommendation,2024,Asian vs non-Asian,0.39,0.22,0.71,"Age, gender"
children,Meets vegetable recommendation,2024,Asian boys vs non-Asian boys,0.21,0.06,0.71,Age
children,Meets vegetable recommendation,2024,Asian girls vs non-Asian girls,0.7,0.32,1.54,Age
children,Meets vegetable recommendation,2024,Most deprived vs least deprived,0.92,0.42,2.03,"Age, gender, ethnic group"
children,Meets vegetable recommendation,2024,Most deprived vs least deprived - boys,0.97,0.27,3.51,"Age, ethnic group"
children,Meets vegetable recommendation,2024,Most deprived vs least deprived - girls,0.92,0.42,2.05,"Age, ethnic group"
children,Meets vegetable recommendation,2024,Disabled children vs non-disabled children (5-14),3.05,1.21,7.69,"Age, gender"
children,Meets both vegetable and fruit recommendations,2024,Boys vs girls,1.36,0.93,2.0,Age
children,Meets both vegetable and fruit recommendations,2024,Māori vs non-Māori,1.0,0.65,1.53,"Age, gender"
children,Meets both vegetable and fruit recommendations,2024,Māori boys vs non-Māori boys,0.74,0.36,1.51,Age
children,Meets both vegetable and fruit recommendations,2024,Māori girls vs non-Māori girls,1.43,0.83,2.45,Age
children,Meets both vegetable and fruit recommendations,2024,Pacific vs non-Pacific,0.73,0.38,1.39,"Age, gender"
children,Meets both vegetable and fruit recommendations,2024,Pacific boys vs non-Pacific boys,0.63,0.24,1.67,Age
children,Meets both vegetable and fruit recommendations,2024,Pacific girls vs non-Pacific girls,0.83,0.3,2.33,Age
children,Meets both vegetable and fruit recommendations,2024,Asian vs non-Asian,0.41,0.22,0.75,"Age, gender"
children,Meets both vegetable and fruit recommendations,2024,Asian boys vs non-Asian boys,0.2,0.05,0.76,Age
children,Meets both vegetable and fruit recommendations,2024,Asian girls vs non-Asian girls,0.8,0.37,1.72,Age
children,Meets both vegetable and fruit recommendations,2024,Most deprived vs least deprived,0.89,0.38,2.06,"Age, gender, ethnic group"
children,Meets both vegetable and fruit recommendations,2024,Most deprived vs least deprived - boys,0.96,0.25,3.78,"Age, ethnic group"
children,Meets both vegetable and fruit recommendations,2024,Most deprived vs least deprived - girls,0.87,0.36,2.13,"Age, ethnic group"
children,Meets both vegetable and fruit recommendations,2024,Disabled children vs non-disabled children (5-14),3.34,1.28,8.74,"Age, gender"
children,Sleeps less than recommended,2024,Boys vs girls,1.08,0.86,1.34,Age
children,Sleeps less than recommended,2024,Māori vs non-Māori,1.52,1.26,1.83,"Age, gender"
children,Sleeps less than recommended,2024,Māori boys vs non-Māori boys,1.34,1.0,1.78,Age
children,Sleeps less than recommended,2024,Māori girls vs non-Māori girls,1.75,1.34,2.28,Age
children,Sleeps less than recommended,2024,Pacific vs non-Pacific,1.69,1.32,2.15,"Age, gender"
children,Sleeps less than recommended,2024,Pacific boys vs non-Pacific boys,1.72,1.21,2.45,Age
children,Sleeps less than recommended,2024,Pacific girls vs non-Pacific girls,1.65,1.19,2.28,Age
children,Sleeps less than recommended,2024,Asian vs non-Asian,1.13,0.93,1.39,"Age, gender"
children,Sleeps less than recommended,2024,Asian boys vs non-Asian boys,1.16,0.87,1.56,Age
children,Sleeps less than recommended,2024,Asian girls vs non-Asian girls,1.09,0.81,1.47,Age
children,Sleeps less than recommended,2024,Most deprived vs least deprived,1.9,1.18,3.07,"Age, gender, ethnic group"
children,Sleeps less than recommended,2024,Most deprived vs least deprived - boys,1.58,0.86,2.9,"Age, ethnic group"
children,Sleeps less than recommended,2024,Most deprived vs least deprived - girls,2.34,1.24,4.42,"Age, ethnic group"
children,Sleeps less than recommended,2024,Disabled children vs non-disabled children (5-14),1.8,1.36,2.38,"Age, gender"
children,Meets sleep duration recommendations,2024,Boys vs girls,0.97,0.92,1.03,Age
children,Meets sleep duration recommendations,2024,Māori vs non-Māori,0.91,0.86,0.96,"Age, gender"
children,Meets sleep duration recommendations,2024,Māori boys vs non-Māori boys,0.95,0.87,1.04,Age
children,Meets sleep duration recommendations,2024,Māori girls vs non-Māori girls,0.87,0.81,0.95,Age
children,Meets sleep duration recommendations,2024,Pacific vs non-Pacific,0.84,0.75,0.93,"Age, gender"
children,Meets sleep duration recommendations,2024,Pacific boys vs non-Pacific boys,0.81,0.69,0.95,Age
children,Meets sleep duration recommendations,2024,Pacific girls vs non-Pacific girls,0.86,0.76,0.98,Age
children,Meets sleep duration recommendations,2024,Asian vs non-Asian,0.99,0.92,1.05,"Age, gender"
children,Meets sleep duration recommendations,2024,Asian boys vs non-Asian boys,0.98,0.88,1.08,Age
children,Meets sleep duration recommendations,2024,Asian girls vs non-Asian girls,1.0,0.92,1.08,Age
children,Meets sleep duration recommendations,2024,Most deprived vs least deprived,0.84,0.76,0.93,"Age, gender, ethnic group"
children,Meets sleep duration recommendations,2024,Most deprived vs least deprived - boys,0.88,0.76,1.02,"Age, ethnic group"
children,Meets sleep duration recommendations,2024,Most deprived vs least deprived - girls,0.8,0.69,0.93,"Age, ethnic group"
children,Meets sleep duration recommendations,2024,Disabled children vs non-disabled children (5-14),0.85,0.77,0.95,"Age, gender"
children,Sleeps more than recommended,2024,Boys vs girls,1.28,0.8,2.03,Age
children,Sleeps more than recommended,2024,Māori vs non-Māori,0.97,0.61,1.53,"Age, gender"
children,Sleeps more than recommended,2024,Māori boys vs non-Māori boys,0.86,0.38,1.96,Age
children,Sleeps more than recommended,2024,Māori girls vs non-Māori girls,1.12,0.6,2.09,Age
children,Sleeps more than recommended,2024,Pacific vs non-Pacific,1.3,0.62,2.75,"Age, gender"
children,Sleeps more than recommended,2024,Pacific boys vs non-Pacific boys,1.26,0.51,3.16,Age
children,Sleeps more than recommended,2024,Pacific girls vs non-Pacific girls,1.33,0.35,5.03,Age
children,Sleeps more than recommended,2024,Asian vs non-Asian,0.77,0.44,1.35,"Age, gender"
children,Sleeps more than recommended,2024,Asian boys vs non-Asian boys,0.79,0.34,1.8,Age
children,Sleeps more than recommended,2024,Asian girls vs non-Asian girls,0.75,0.3,1.89,Age
children,Sleeps more than recommended,2024,Most deprived vs least deprived,1.12,0.49,2.6,"Age, gender, ethnic group"
children,Sleeps more than recommended,2024,Most deprived vs least deprived - boys,0.79,0.2,3.15,"Age, ethnic group"
children,Sleeps more than recommended,2024,Most deprived vs least deprived - girls,1.75,0.6,5.14,"Age, ethnic group"
children,Sleeps more than recommended,2024,Disabled children vs non-disabled children (5-14),1.14,0.57,2.28,"Age, gender"
children,Mean number of hours of sleep,2024,Boys vs girls,1.0,0.98,1.02,Age
children,Mean number of hours of sleep,2024,Māori vs non-Māori,0.99,0.97,1.0,"Age, gender"
children,Mean number of hours of sleep,2024,Māori boys vs non-Māori boys,0.99,0.97,1.02,Age
children,Mean number of hours of sleep,2024,Māori girls vs non-Māori girls,0.98,0.96,1.01,Age
children,Mean number of hours of sleep,2024,Pacific vs non-Pacific,0.95,0.93,0.98,"Age, gender"
children,Mean number of hours of sleep,2024,Pacific boys vs non-Pacific boys,0.96,0.92,1.0,Age
children,Mean number of hours of sleep,2024,Pacific girls vs non-Pacific girls,0.95,0.92,0.98,Age
children,Mean number of hours of sleep,2024,Asian vs non-Asian,0.99,0.97,1.01,"Age, gender"
children,Mean number of hours of sleep,2024,Asian boys vs non-Asian boys,0.98,0.95,1.01,Age
children,Mean number of hours of sleep,2024,Asian girls vs non-Asian girls,1.0,0.97,1.02,Age
children,Mean number of hours of sleep,2024,Most deprived vs least deprived,0.97,0.94,1.0,"Age, gender, ethnic group"
children,Mean number of hours of sleep,2024,Most deprived vs least deprived - boys,0.98,0.94,1.03,"Age, ethnic group"
children,Mean number of hours of sleep,2024,Most deprived vs least deprived - girls,0.96,0.93,1.0,"Age, ethnic group"
children,Mean number of hours of sleep,2024,Disabled children vs non-disabled children (5-14),0.97,0.95,1.0,"Age, gender"
children,Mean number of hours of screen time,2024,Boys vs girls,1.05,0.99,1.12,Age
children,Mean number of hours of screen time,2024,Māori vs non-Māori,1.18,1.07,1.3,"Age, gender"
children,Mean number of hours of screen time,2024,Māori boys vs non-Māori boys,1.11,0.98,1.25,Age
children,Mean number of hours of screen time,2024,Māori girls vs non-Māori girls,1.26,1.13,1.41,Age
children,Mean number of hours of screen time,2024,Pacific vs non-Pacific,1.13,1.02,1.26,"Age, gender"
children,Mean number of hours of screen time,2024,Pacific boys vs non-Pacific boys,1.09,0.95,1.25,Age
children,Mean number of hours of screen time,2024,Pacific girls vs non-Pacific girls,1.18,1.03,1.35,Age
children,Mean number of hours of screen time,2024,Asian vs non-Asian,0.95,0.88,1.01,"Age, gender"
children,Mean number of hours of screen time,2024,Asian boys vs non-Asian boys,1.0,0.9,1.11,Age
children,Mean number of hours of screen time,2024,Asian girls vs non-Asian girls,0.9,0.81,0.99,Age
children,Mean number of hours of screen time,2024,Most deprived vs least deprived,1.25,1.1,1.43,"Age, gender, ethnic group"
children,Mean number of hours of screen time,2024,Most deprived vs least deprived - boys,1.21,1.0,1.46,"Age, ethnic group"
children,Mean number of hours of screen time,2024,Most deprived vs least deprived - girls,1.29,1.07,1.54,"Age, ethnic group"
children,Mean number of hours of screen time,2024,Disabled children vs non-disabled children (5-14),1.17,1.03,1.34,"Age, gender"
children,Met screen time recommendations,2024,Boys vs girls,0.95,0.82,1.1,Age
children,Met screen time recommendations,2024,Māori vs non-Māori,0.76,0.63,0.91,"Age, gender"
children,Met screen time recommendations,2024,Māori boys vs non-Māori boys,0.87,0.69,1.09,Age
children,Met screen time recommendations,2024,Māori girls vs non-Māori girls,0.65,0.5,0.85,Age
children,Met screen time recommendations,2024,Pacific vs non-Pacific,0.74,0.58,0.95,"Age, gender"
children,Met screen time recommendations,2024,Pacific boys vs non-Pacific boys,0.82,0.54,1.23,Age
children,Met screen time recommendations,2024,Pacific girls vs non-Pacific girls,0.68,0.49,0.95,Age
children,Met screen time recommendations,2024,Asian vs non-Asian,1.05,0.91,1.22,"Age, gender"
children,Met screen time recommendations,2024,Asian boys vs non-Asian boys,1.03,0.82,1.28,Age
children,Met screen time recommendations,2024,Asian girls vs non-Asian girls,1.08,0.85,1.36,Age
children,Met screen time recommendations,2024,Most deprived vs least deprived,0.75,0.54,1.03,"Age, gender, ethnic group"
children,Met screen time recommendations,2024,Most deprived vs least deprived - boys,0.78,0.5,1.22,"Age, ethnic group"
children,Met screen time recommendations,2024,Most deprived vs least deprived - girls,0.72,0.48,1.09,"Age, ethnic group"
children,Met screen time recommendations,2024,Disabled children vs non-disabled children (5-14),0.77,0.54,1.11,"Age, gender"
children,Mean weight (kg),2024,Boys vs girls,1.0,0.96,1.04,Age
children,Mean weight (kg),2024,Māori vs non-Māori,1.11,1.07,1.14,"Age, gender"
children,Mean weight (kg),2024,Māori boys vs non-Māori boys,1.1,1.04,1.17,Age
children,Mean weight (kg),2024,Māori girls vs non-Māori girls,1.11,1.05,1.17,Age
children,Mean weight (kg),2024,Pacific vs non-Pacific,1.23,1.15,1.3,"Age, gender"
children,Mean weight (kg),2024,Pacific boys vs non-Pacific boys,1.18,1.1,1.25,Age
children,Mean weight (kg),2024,Pacific girls vs non-Pacific girls,1.27,1.17,1.38,Age
children,Mean weight (kg),2024,Asian vs non-Asian,0.9,0.87,0.94,"Age, gender"
children,Mean weight (kg),2024,Asian boys vs non-Asian boys,0.91,0.86,0.96,Age
children,Mean weight (kg),2024,Asian girls vs non-Asian girls,0.9,0.84,0.96,Age
children,Mean weight (kg),2024,Most deprived vs least deprived,1.1,1.03,1.17,"Age, gender, ethnic group"
children,Mean weight (kg),2024,Most deprived vs least deprived - boys,1.17,1.07,1.29,"Age, ethnic group"
children,Mean weight (kg),2024,Most deprived vs least deprived - girls,1.02,0.94,1.12,"Age, ethnic group"
children,Mean weight (kg),2024,Disabled children vs non-disabled children (5-14),1.06,1.0,1.14,"Age, gender"
children,Mean height (cm),2024,Boys vs girls,1.0,0.99,1.02,Age
children,Mean height (cm),2024,Māori vs non-Māori,1.01,1.0,1.02,"Age, gender"
children,Mean height (cm),2024,Māori boys vs non-Māori boys,1.01,0.99,1.02,Age
children,Mean height (cm),2024,Māori girls vs non-Māori girls,1.02,1.0,1.04,Age
children,Mean height (cm),2024,Pacific vs non-Pacific,1.03,1.01,1.04,"Age, gender"
children,Mean height (cm),2024,Pacific boys vs non-Pacific boys,1.02,1.0,1.04,Age
children,Mean height (cm),2024,Pacific girls vs non-Pacific girls,1.04,1.01,1.06,Age
children,Mean height (cm),2024,Asian vs non-Asian,0.98,0.97,0.99,"Age, gender"
children,Mean height (cm),2024,Asian boys vs non-Asian boys,0.98,0.97,1.0,Age
children,Mean height (cm),2024,Asian girls vs non-Asian girls,0.98,0.96,1.0,Age
children,Mean height (cm),2024,Most deprived vs least deprived,1.01,0.99,1.03,"Age, gender, ethnic group"
