"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
children,Poor or fair parent-rated health,2024,Disabled children vs non-disabled children (5-14),7.12,3.15,16.07,"Age, gender"
children,Parent-rated health - excellent,2024,Boys vs girls,0.89,0.82,0.98,Age
children,Parent-rated health - excellent,2024,Māori vs non-Māori,0.94,0.84,1.06,"Age, gender"
children,Parent-rated health - excellent,2024,Māori boys vs non-Māori boys,0.93,0.77,1.13,Age
children,Parent-rated health - excellent,2024,Māori girls vs non-Māori girls,0.95,0.8,1.13,Age
children,Parent-rated health - excellent,2024,Pacific vs non-Pacific,0.91,0.76,1.09,"Age, gender"
children,Parent-rated health - excellent,2024,Pacific boys vs non-Pacific boys,0.98,0.76,1.27,Age
children,Parent-rated health - excellent,2024,Pacific girls vs non-Pacific girls,0.85,0.71,1.02,Age
children,Parent-rated health - excellent,2024,Asian vs non-Asian,0.92,0.79,1.06,"Age, gender"
children,Parent-rated health - excellent,2024,Asian boys vs non-Asian boys,0.85,0.68,1.07,Age
children,Parent-rated health - excellent,2024,Asian girls vs non-Asian girls,0.98,0.79,1.2,Age
children,Parent-rated health - excellent,2024,Most deprived vs least deprived,0.81,0.62,1.04,"Age, gender, ethnic group"
children,Parent-rated health - excellent,2024,Most deprived vs least deprived - boys,0.62,0.44,0.88,"Age, ethnic group"
children,Parent-rated health - excellent,2024,Most deprived vs least deprived - girls,1.03,0.75,1.42,"Age, ethnic group"
children,Parent-rated health - excellent,2024,Disabled children vs non-disabled children (5-14),0.48,0.35,0.67,"Age, gender"
children,"Excellent, very good or good parent-rated oral health",2024,Boys vs girls,1.0,0.97,1.03,Age
children,"Excellent, very good or good parent-rated oral health",2024,Māori vs non-Māori,0.96,0.93,0.99,"Age, gender"
children,"Excellent, very good or good parent-rated oral health",2024,Māori boys vs non-Māori boys,0.98,0.93,1.03,Age
children,"Excellent, very good or good parent-rated oral health",2024,Māori girls vs non-Māori girls,0.94,0.89,0.99,Age
children,"Excellent, very good or good parent-rated oral health",2024,Pacific vs non-Pacific,0.95,0.91,1.0,"Age, gender"
children,"Excellent, very good or good parent-rated oral health",2024,Pacific boys vs non-Pacific boys,0.96,0.89,1.03,Age
children,"Excellent, very good or good parent-rated oral health",2024,Pacific girls vs non-Pacific girls,0.95,0.89,1.02,Age
children,"Excellent, very good or good parent-rated oral health",2024,Asian vs non-Asian,1.0,0.97,1.03,"Age, gender"
children,"Excellent, very good or good parent-rated oral health",2024,Asian boys vs non-Asian boys,0.99,0.94,1.04,Age
children,"Excellent, very good or good parent-rated oral health",2024,Asian girls vs non-Asian girls,1.01,0.97,1.06,Age
children,"Excellent, very good or good parent-rated oral health",2024,Most deprived vs least deprived,0.91,0.85,0.97,"Age, gender, ethnic group"
children,"Excellent, very good or good parent-rated oral health",2024,Most deprived vs least deprived - boys,0.89,0.82,0.97,"Age, ethnic group"
children,"Excellent, very good or good parent-rated oral health",2024,Most deprived vs least deprived - girls,0.93,0.85,1.02,"Age, ethnic group"
children,"Excellent, very good or good parent-rated oral health",2024,Disabled children vs non-disabled children (5-14),0.87,0.79,0.96,"Age, gender"
children,Teeth removed due to decay in past 12 months,2024,Boys vs girls,0.8,0.51,1.25,Age
children,Teeth removed due to decay in past 12 months,2024,Māori vs non-Māori,2.08,1.32,3.28,"Age, gender"
children,Teeth removed due to decay in past 12 months,2024,Māori boys vs non-Māori boys,1.35,0.68,2.72,Age
children,Teeth removed due to decay in past 12 months,2024,Māori girls vs non-Māori girls,2.93,1.44,5.94,Age
children,Teeth removed due to decay in past 12 months,2024,Pacific vs non-Pacific,2.11,1.29,3.47,"Age, gender"
children,Teeth removed due to decay in past 12 months,2024,Pacific boys vs non-Pacific boys,2.05,1.0,4.23,Age
children,Teeth removed due to decay in past 12 months,2024,Pacific girls vs non-Pacific girls,2.17,1.04,4.55,Age
children,Teeth removed due to decay in past 12 months,2024,Asian vs non-Asian,0.87,0.52,1.46,"Age, gender"
children,Teeth removed due to decay in past 12 months,2024,Asian boys vs non-Asian boys,1.48,0.75,2.94,Age
children,Teeth removed due to decay in past 12 months,2024,Asian girls vs non-Asian girls,0.48,0.14,1.62,Age
children,Teeth removed due to decay in past 12 months,2024,Most deprived vs least deprived,2.0,0.71,5.65,"Age, gender, ethnic group"
children,Teeth removed due to decay in past 12 months,2024,Most deprived vs least deprived - boys,2.69,0.78,9.26,"Age, ethnic group"
children,Teeth removed due to decay in past 12 months,2024,Most deprived vs least deprived - girls,1.45,0.25,8.38,"Age, ethnic group"
children,Teeth removed due to decay in past 12 months,2024,Disabled children vs non-disabled children (5-14),0.5,0.18,1.45,"Age, gender"
children,Teeth removed due to decay in lifetime,2024,Boys vs girls,0.83,0.6,1.14,Age
children,Teeth removed due to decay in lifetime,2024,Māori vs non-Māori,1.94,1.45,2.62,"Age, gender"
children,Teeth removed due to decay in lifetime,2024,Māori boys vs non-Māori boys,2.06,1.32,3.22,Age
children,Teeth removed due to decay in lifetime,2024,Māori girls vs non-Māori girls,1.85,1.22,2.82,Age
children,Teeth removed due to decay in lifetime,2024,Pacific vs non-Pacific,1.69,1.17,2.44,"Age, gender"
children,Teeth removed due to decay in lifetime,2024,Pacific boys vs non-Pacific boys,1.51,0.94,2.43,Age
children,Teeth removed due to decay in lifetime,2024,Pacific girls vs non-Pacific girls,1.84,1.1,3.08,Age
